Year	Site	Species	Nest	Sex	Weight	right_wing	right_tarsus	Bill	Ring
2015	Qinghai Lake	TSP	3	Female	65.66	147	33.69	18.46	D15-1311
2015	Qinghai Lake	TSP	1	Female	65.4	148	35.43	18.25	D15-1313
2015	Qinghai Lake	TSP	1	Female	68.73	138	35.9	17.82	
2015	Qinghai Lake	TSP	3	Female	66.4	140	36.31	19.02	
2016	EB	TSP	2	Female	68.92	142	33.44	16.98	D16-4591
2016	EB	TSP	3	Female	65.6	134	33.85	17.22	D16-4755
2016	EB	TSP	5	Female	63.94	138	35.36	18.45	D16-4758
2016	EB	TSP	6	Female	45.88	130	31.66	18.77	D16-4761
2016	EB	TSP	7	Female	62.41	129	32.39	18.45	D16-4762
2016	EB	TSP	8	Female	66.97	132	36.87	19.39	D16-4763
2016	EB	TSP	7	Male	61.97	128	33.82	17.94	D16-4764
2018	B	TSP	3	Female	70.37	135	34	17.8	D19-4807
2018	B	TSP	4	Female	72.12	141	34.4	17.9	D19-4808
2018	B	TSP	1	Male	62.45	135	35.5	16.9	D19-4809
2018	A	TSP	1	Female	74.72	137	35.4	17.5	D19-4813
2018	B	TSP	2	Female	67.63	131	33.5	17.4	D19-4815
2018	A	TSP	2	Female	67.09	127	33.5	16.5	D19-4827
2018	B	TSP	2	Male	66.77	134	34.9	17.3	D19-4830
2018	B	TSP	3	Male	63.07	133	33.6	16.3	D19-4831
2018	B	TSP	5	Female	64.51	125	34.3	17.1	D19-4836
2018	B	TSP	5	Male	59.06	131	35.1	16.8	D19-4837
2018	B	TSP	1	Female	64.05	135	35.4	18.1	D19-4844
2018	E	TSP	1	Male	70.36	134	35.5	18.3	D19-4848
2018	E	TSP	5	Male	61.21	139	35.1	20	D19-4852
2018	B	TSP	4	Male	60.76	135	34.7	17.1	D19-4854
2018	E	TSP	3	Female	66.62	141	35.7	17.9	D19-4857
2018	B	TSP	7	Female	61.66	134	33.7	17.4	D19-4859
2018	E	TSP	3	Male	61.15	134	36.1	18.1	D19-4860
2018	G	TSP	1	Female	63.72	136	34.1	16.3	D19-4874
2019	A	TSP	1	Female	62.82	137	35.7	18.2	D346703
2019	A	TSP	1	Male	60.9	137	33.8	17.8	D346707
2019	A	TSP	3	Female	63.3	131	32.6	16.5	D346711
2019	A	TSP	2	Female	59.22	138	35.4	16.9	D346712
2019	A	TSP	2	Male	61.17	132	34.4	16.8	D346714
2019	A	TSP	3	Male	60.11	135	36.2	17.3	D346718
2019	E	TSP	1	Female	67.34	134	37.9	20.6	D346721
2019	F	TSP	1	Female	65.34	136	34.5	16	D346726
2019	E	TSP	1	Male	68.33	133	37.2	18.1	D346728
2019	E	TSP	2	Male	57.3	134	37.2	18	D346750
2019	D	TSP	3	Female	62.26	130	32.8	16.8	D346752
2019	E	TSP	4	Female	62.56	137	35	17.5	D346756
2019	D	TSP	3	Male	67.29	132	34.6	18.4	D346757
2019	E	TSP	3	Female	63.01	135	33.8	17.7	D346759
2019	E	TSP	4	Male	59.7	132	35.4	18.6	D346760
2019	S	TSP	1	Female	62.97	127	32.1	16.5	D346761
2019	S	TSP	2	Female	65.7	138	33.7	17.2	D346763
2019	S	TSP	3	Female	62.39	132	35.4	16.4	D346770
2019	M	TSP	1	Female	70.69	132	35.1	17.7	D346776
2019	M	TSP	2	Female	70.98	137	31.7	18.3	D346777
2019	M	TSP	3	Female	62.37	135	33.8	17.3	D346778
2019	M	TSP	4	Female	65.4	134	33	17.1	D346805
2019	M	TSP	1	Male	68.33	133	34.6	19.2	D346822
2019	M	TSP	-2	Female	65.55	135	34.9	21.1	D346827
2019	M	TSP	3	Male	66.31	135	36.5	18.8	D346829
