Year,Site,Species,Nest,Easting,Northing,Laydate,Clutch.size,L1,W1,egg_1_volume,L2,W2,egg_2_volume,L3,W3,egg_3_volume,enddate,nest_fate,nest.fate,hatching.date,Female,Female_weight,Male,male_tarsus,chick 1,chick 2,chick 3,julian_laying_date,mean_laying_date,Relative_laying_date,julian_hatching_date,incubation_period
2015,,TSP,1,655470,4079016,NA,2,37.14,25.66,11899.4615,37.04,25.75,11950.81571,NA,NA,NA,NA,3,UNKNOWN,NA,NA,,D15-1313,,,,NA,NA,135.6666667,NA,NA,NA
2015,,TSP,2,655852,4078432,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,UNKNOWN,NA,,,,,,,NA,NA,135.6666667,NA,NA,NA
2015,,TSP,3,655049,4079371,01/05/2015,3,38.03,26.04,12548.16988,37.8,26.01,12443.55893,36.51,26.43,12410.18523,NA,3,UNKNOWN,NA,NA,,D15-1311,,,,NA,121,135.6666667,0.891891892,NA,NA
2015,,TSP,4,655054,4079306,05/06/2015,3,37.06,25.88,12078.30699,37.21,26.96,13160.47457,36.99,26.18,12336.60673,NA,3,UNKNOWN,NA,,,,,,,NA,156,135.6666667,1.14987715,NA,NA
2015,,TSP,103,654633,4079808,10/05/2015,3,39.76,25.16,12247.28302,37.42,25.32,11673.55921,37.46,25.68,12020.70437,NA,3,UNKNOWN,NA,,,,,,,NA,130,135.6666667,0.958230958,NA,NA
2016,EB,TSP,1,655884,4078395,23/05/2016,2,37.94,27.84,14308.95418,36.38,26.36,12300.5806,NA,NA,NA,NA,0,FAILED,NA,NA,,NA,,NA,NA,NA,144,152.3333333,0.945295405,NA,NA
2016,EB,TSP,2,656279,4077515,20/05/2016,2,36.89,25.77,11920.91515,36.23,26.16,12064.68307,NA,NA,NA,NA,0,FAILED,NA,D16-4591,68.92,NA,,NA,NA,NA,141,152.3333333,0.925601751,NA,NA
2016,EB,TSP,3,656334,4077407,23/05/2016,3,37.04,25.67,11876.67357,38.41,25.61,12258.45025,36.94,26.48,12603.90024,NA,1,HATCH,19/06/2016,D16-4755,65.6,NA,,D16-4774,D16-4775,NA,144,152.3333333,0.945295405,171,27
2016,EB,TSP,4,655768,4078511,01/06/2016,1,36.12,24.25,10335.7818,NA,NA,NA,NA,NA,NA,NA,0,FAILED,NA,NA,,NA,,NA,NA,NA,153,152.3333333,1.004376368,NA,NA
2016,EB,TSP,5,655421,4078961,06/06/2016,3,35.94,25.83,11668.06903,36.35,25.71,11691.78103,35.47,25.99,11658.58523,NA,1,HATCH,04/07/2016,D16-4758,63.94,NA,,D16-4725,D16-4726,NA,158,152.3333333,1.037199125,186,28
2016,EB,TSP,6,655415,4078859,03/06/2016,2,36.84,25.12,11311.7812,36.9,24.97,11195.29535,NA,NA,NA,NA,1,HATCH,01/07/2016,D16-4761,45.88,NA,,D16-4903,D16-4904,NA,155,152.3333333,1.01750547,183,28
2016,EB,TSP,7,655981,4078256,02/06/2016,3,39.33,25.67,12610.94955,37.37,25.62,11935.85277,37.2,26.64,12846.46049,NA,1,HATCH,04/07/2016,D16-4762,62.41,D16-4764,33.82,D16-4727,D16-4905,NA,154,152.3333333,1.010940919,186,32
